Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0, TIDL_DataLayer, 3, 512, 512, 3, 512, 512, 3, FRAME, 0, 0, 262144, 262144, 1, 0, 1,,,,,,,,, MSMC, DMA, 262144, 262144, 2, 524288, 0, 0, ,,,,,,,, DDR, CPU, 262144, 262144, 3, 787456, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, TIDL_DataConvertLayer, 3, 512, 512, 3, 512, 512, 3,  COL, 0, 0, 131072, 262144, 6, 0, 6,,,,,,,,, L2, DMA, 262144, 262144, 1, 262144, 0, 0, ,,,,,,,, MSMC, CPU, 262144, 262144, 3, 786432, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2, TIDL_ConvolutionLayer, 3, 512, 512, 32, 256, 256, 3, ROW_C, 512, 512, 64512, 262144, 5, 1, 5,,,,,,,,, L2, DMA, 131072, 131072, 3, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 65600, 65537, 32, 2099200, 0, c0000, ,,,,,,,, L2, DMA, 27, 27, 32, 1024, 0, 60080, ,,,,,,,, 
 3, TIDL_ConvolutionLayer, 32, 256, 256, 32, 256, 256, 1,  COL, 0, 0, 65536, 65536, 16, 1, 16,,,,,,,,, L2, DMA, 65536, 65536, 4, 262272, 0, 0, ,,,,,,,, MSMC, CPU, 65600, 65536, 32, 2099200, 0, 0, ,,,,,,,, L2, DMA, 10, 10, 192, 1920, 0, 40080, ,,,,,,,, 
 4, TIDL_ConvolutionLayer, 32, 256, 256, 16, 256, 256, 32, ROW_L, 0, 0, 6208, 65536, 11, 1, 11,,,,,,,,, L2, DMA, 12480, 12480, 32, 455296, 0, 0, ,,,,,,,, MSMC, CPU, 65600, 65536, 16, 1049600, 0, 0, ,,,,,,,, L2, DMA, 32, 32, 16, 640, 0, 6f280, ,,,,,,,, 
 5, TIDL_ConvolutionLayer, 16, 256, 256, 96, 256, 256, 16, ROW_L, 0, 0, 2624, 65536, 25, 1, 25,,,,,,,,, L2, DMA, 5312, 5312, 16, 145408, 0, 0, MSMC, CPU, 2624, 2624, 96, 503808, 0, 100400, DDR, DMA, 68224, 65536, 96, 6550528, 0, c0400, ,,,,,,,, L2, DMA, 16, 16, 96, 1920, 0, 23800, ,,,,,,,, 
 6, TIDL_ConvolutionLayer, 96, 256, 256, 96, 128, 128, 1,  COL, 0, 0, 65536, 65536, 48, 1, 48,,,,,,,,, L2, DMA, 65536, 65536, 4, 262272, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 96, 1579008, 0, 0, ,,,,,,,, L2, DMA, 10, 10, 576, 5760, 0, 40080, ,,,,,,,, 
 7, TIDL_ConvolutionLayer, 96, 128, 128, 24, 128, 128, 96, ROW_L, 0, 0, 2240, 16384, 8, 1, 8,,,,,,,,, L2, DMA, 4544, 4544, 96, 449792, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 24, 394752, 0, 0, ,,,,,,,, L2, DMA, 192, 96, 24, 4736, 0, 6dd00, ,,,,,,,, 
 8, TIDL_ConvolutionLayer, 24, 128, 128, 144, 128, 128, 24, ROW_L, 0, 0, 9344, 16384, 2, 1, 2,,,,,,,,, L2, DMA, 18752, 18752, 24, 450176, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 144, 2368512, 0, 60600, ,,,,,,,, L2, DMA, 24, 24, 144, 4096, 0, 6de80, ,,,,,,,, 
 9, TIDL_ConvolutionLayer, 144, 128, 128, 144, 128, 128, 1,  COL, 0, 0, 16384, 16384, 16, 1, 16,,,,,,,,, L2, DMA, 16384, 16384, 18, 295040, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 144, 2368512, 0, 60600, ,,,,,,,, L2, DMA, 10, 10, 864, 8704, 0, 48080, ,,,,,,,, 
